CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
311,Female,24,63,15
312,Male,42,95,29
313,Female,62,98,29
314,Male,21,119,75
315,Male,53,132,32
316,Female,23,100,2
317,Male,48,77,47
318,Male,36,118,78
319,Male,61,63,84
320,Female,56,85,22
321,Female,44,15,75
322,Male,27,137,27
323,Female,43,76,67
324,Female,36,46,81
325,Female,56,43,56
326,Female,20,63,92
327,Male,62,44,93
328,Male,30,33,21
329,Female,67,32,47
330,Female,45,15,80
331,Male,37,92,59
332,Male,45,129,84
333,Female,25,127,6
334,Male,58,128,19
335,Female,56,77,57
336,Female,18,146,69
337,Male,20,143,3
338,Male,30,22,1
339,Female,45,69,58
340,Female,66,117,38
341,Male,42,145,15
342,Female,50,46,34
343,Male,55,24,61
344,Female,23,124,35
345,Male,61,138,64
346,Male,62,101,25
347,Male,49,69,24
348,Female,62,46,12
349,Female,64,149,18
350,Male,38,107,15
351,Female,33,22,80
352,Male,38,79,27
353,Male,28,71,72
354,Female,54,81,60
355,Female,53,86,46
356,Male,52,68,89
357,Female,36,81,17
358,Female,37,65,93
359,Male,35,111,53
360,Male,64,106,8
361,Female,58,22,79
362,Male,66,49,27
363,Male,31,110,46
364,Female,32,102,50
365,Male,48,92,71
366,Male,18,46,3
367,Female,20,134,93
368,Female,33,60,64
369,Male,40,69,44
370,Male,28,21,53
371,Female,29,88,24
372,Female,27,21,60
373,Female,49,99,3
374,Female,33,126,20
375,Male,25,139,46
376,Female,55,50,15
377,Female,29,43,25
378,Male,41,96,94
379,Female,45,16,78
380,Male,25,143,71
381,Female,45,61,17
382,Female,53,25,84
383,Female,43,144,9
384,Male,25,133,38
385,Male,67,34,48
386,Female,45,19,60
387,Male,45,51,63
388,Male,54,67,86
389,Male,58,113,2
390,Male,53,100,88
391,Male,44,122,72
392,Male,34,38,11
393,Female,26,95,64
394,Female,50,134,77
395,Male,37,73,81
396,Female,30,142,72
397,Female,45,128,21
398,Female,65,129,18
399,Female,46,28,94
400,Male,30,23,64
401,Female,63,54,82
402,Female,52,39,95
403,Male,23,117,38
404,Male,35,36,32
405,Female,68,18,11
406,Female,22,43,45
407,Female,64,123,89
408,Female,42,112,33
409,Female,19,51,41
410,Female,27,89,8
411,Male,47,84,11
412,Female,67,142,86
413,Female,62,99,51
414,Male,22,56,88
415,Male,50,114,41
416,Male,18,55,17
417,Male,35,48,76
418,Female,49,31,46
419,Female,64,136,32
420,Female,66,90,79
421,Female,28,101,80
422,Female,38,131,54
423,Female,43,120,86
424,Male,42,100,92
425,Female,39,41,20
426,Male,44,71,33
427,Male,66,45,74
428,Female,30,148,40
429,Male,50,112,32
430,Female,51,26,97
431,Male,58,67,2
432,Female,52,136,97
433,Male,18,60,33
434,Female,38,78,77
435,Female,65,144,30
436,Female,23,68,33
437,Female,45,121,77
438,Female,34,65,26
439,Male,22,50,22
440,Male,48,129,66
441,Male,22,40,38
442,Female,55,43,90
443,Male,20,25,46
444,Female,40,54,15
445,Female,54,25,98
446,Male,54,127,44
447,Male,27,53,49
448,Female,27,68,75
449,Male,36,112,61
450,Female,34,69,67
451,Female,38,125,6
452,Female,31,83,9
453,Female,26,70,6
454,Female,63,47,73
455,Male,18,50,95
456,Male,68,95,32
457,Female,62,123,41
458,Female,30,87,76
459,Male,21,54,8
460,Male,18,31,72
461,Female,66,143,50
462,Male,57,75,92
463,Female,49,118,62
464,Male,51,56,84
465,Female,45,39,62
466,Male,48,53,7
467,Female,25,49,75
468,Male,56,145,84
469,Male,43,122,80
470,Female,51,116,4
471,Male,20,112,6
472,Female,67,26,58
473,Male,29,33,22
474,Female,18,115,26
475,Male,61,58,3
476,Female,22,63,41
477,Male,47,31,60
478,Female,47,88,14
479,Male,34,71,75
480,Female,65,69,82
481,Female,64,61,12
482,Female,40,26,87
483,Male,32,76,12
484,Female,54,94,13
485,Male,38,97,25
486,Female,31,22,45
487,Male,19,95,19
488,Female,28,132,55
489,Male,68,39,45
490,Male,56,103,8
491,Female,55,26,93
492,Male,51,73,53
493,Male,55,123,55
494,Female,67,40,32
495,Male,51,61,51
496,Male,35,46,44
497,Male,47,24,82
498,Female,32,30,70
499,Male,44,40,18
500,Female,68,100,83
